geolocation_zip_code_prefix,Count,Avg_lat,Avg_lng
11374,1,-23.99016675,-46.47193698
11505,1,-23.87538139,-46.42139222
11555,1,-23.88091418,-46.45025018
11620,1,-23.79298724,-45.55563292
11770,1,-24.30371104,-47.06606866
12295,1,-23.18841147,-45.73469285
12290,1,-23.0571548,-45.71273623
12341,1,-23.29357566,-45.98510497
12326,1,-23.32423999,-46.04564762
12508,1,-22.79341073,-45.26996269
12611,1,-22.74346434,-45.13453916
12723,1,-22.5605012,-44.93159298
12953,1,-23.09537258,-46.60029349
13176,1,-22.90111444,-47.27413121
13355,1,-12.99385223,-38.48088185
13319,1,-23.28867817,-47.05654001
13381,1,-22.80145543,-47.32591336
13452,1,-22.73098895,-47.4093459
13433,1,-22.56971349,-47.60996993
13579,1,-22.4362164,-46.82823839
13508,1,-22.41148957,-47.57096344
13507,1,-22.41492897,-47.55469808
13578,1,-21.893562,-47.8909845
13638,1,-21.98497887,-47.41437637
13608,1,-22.35605529,-47.32474978
13804,1,-22.50616609,-46.9721511
13822,1,-22.70548211,-46.98827265
13918,1,-22.70113978,-46.99858183
14072,1,-21.08846323,-47.79866424
14001,1,-21.17605528,-47.81101201
14032,1,-21.18444992,-47.8901469
14141,1,-21.34307744,-47.72849296
14151,1,-21.19755834,-47.59524633
14220,1,-21.23845784,-47.79056497
14305,1,-20.88373048,-47.57430515
14312,1,-20.91646835,-47.57421677
14307,1,-20.89929861,-47.57950784
14505,1,-20.24625944,-47.87218322
14590,1,-23.5255947,-46.54829611
14718,1,-20.99772552,-48.54676718
14733,1,-20.90566628,-48.64331355
14789,1,-20.61491238,-48.76359026
14713,1,-20.92302959,-48.45576868
14809,1,-21.74219193,-48.15205174
15195,1,-20.68842686,-50.05102479
15397,1,-20.64122528,-51.50813873
15367,1,-23.10624149,-50.37795705
15545,1,-26.29441316,-48.82067181
15506,1,-20.4220665,-49.9991445
15507,1,-20.40891104,-49.99431084
15610,1,-20.27992377,-50.25579886
15604,1,-20.30231229,-50.2465483
15835,1,-21.25470113,-48.97940817
15868,1,-21.08102635,-49.24164245
15999,1,-21.55063142,-48.53124624
15905,1,-21.40372075,-48.49869815
16080,1,-21.14657514,-50.46475458
16087,1,-21.20289946,-50.43200533
16067,1,-21.1781673,-50.45148103
16208,1,-21.24488368,-50.32219195
16510,1,-22.27641683,-51.48329407
16830,1,-23.49502295,-46.80114289
17132,1,-22.4676478,-48.98338748
17288,1,-22.19728804,-48.87553298
17285,1,-22.31151411,-48.89054504
17310,1,-22.25035168,-48.38464116
17498,1,-22.41954049,-49.13928907
17479,1,-22.41440622,-49.41399678
17492,1,-22.41585336,-49.14272138
17495,1,-22.4133056,-49.1440172
17532,1,-22.22561246,-49.96333936
18084,1,-23.47591159,-47.41709677
18073,1,-23.39282911,-47.51910164
18216,1,-22.04286332,-47.89293324
18218,1,-23.77069186,-48.12964897
18204,1,-23.60776071,-48.01382835
18243,1,28.00897834,-15.53686718
18306,1,-24.01569324,-48.3488138
18630,1,-22.93627203,-48.16220029
18910,1,-22.95583678,-49.53826089
18915,1,-22.71582921,-49.57165966
19036,1,-22.11297471,-51.39388535
19029,1,-22.07708974,-51.41548625
19140,1,-21.80310403,-51.30043489
